Id,outfit_image,description,outfit,occasions,seasons
1,https://storage.googleapis.com/raven-media-bucket/image/outfits/1.jpeg,"inspired by the casual yet sophisticated attire traditionally worn at Ivy League colleges in the Northeastern United States. It typically involves elements like chinos, polo shirts or Oxford button-downs, cable knit sweaters, loafers or boat shoes, and accessories like ties or bow ties, blazers, and letterman jackets, all in a palette of pastels, navy, khaki, or traditional prints like stripes or argyle.","Hair: Neatly styled, with a side part or a well-groomed short haircut.
Top: A crisp white button-up shirt with a navy blue v-neck sweater layered over it.
Bottom: Khaki chinos or trousers.
Shoes: Brown leather loafers.
Accessories: A striped or solid-colored silk tie, a leather belt, and a classic wristwatch.","business casual meeting, job interview, casual wedding - wedding guest, dinner date, church services, university or college lectures/presentations, networking events, art gallery or theater performance, chrismas party, family gathering, graduation ceremony","fall, winter, spring, mild"
2,https://storage.googleapis.com/raven-media-bucket/image/outfits/2.jpeg,"inspired by the casual yet sophisticated attire traditionally worn at Ivy League colleges in the Northeastern United States. It typically involves elements like chinos, polo shirts or Oxford button-downs, cable knit sweaters, loafers or boat shoes, and accessories like ties or bow ties, blazers, and letterman jackets, all in a palette of pastels, navy, khaki, or traditional prints like stripes or argyle.","Hair: Tousled, medium-length hair with a slight side sweep.
Top: A pastel-colored Oxford button-down shirt, sleeves rolled up.
Bottom: Slim-fitting dark wash jeans.
Shoes: Brown suede desert boots.
Accessories: A navy blue blazer, a patterned pocket square, and a leather bracelet or a beaded bracelet.","casual friday at the office, date night, birthday party, informal/casual wedding, networking event, casual dinner, brunch, art exhibition, weekend outing, travel","spring, summer, fall, mild"
3,https://storage.googleapis.com/raven-media-bucket/image/outfits/3.jpeg,"inspired by the casual yet sophisticated attire traditionally worn at Ivy League colleges in the Northeastern United States. It typically involves elements like chinos, polo shirts or Oxford button-downs, cable knit sweaters, loafers or boat shoes, and accessories like ties or bow ties, blazers, and letterman jackets, all in a palette of pastels, navy, khaki, or traditional prints like stripes or argyle.","Hair: Neatly groomed, shorter on the sides, and slightly longer on top.
Top: A cable-knit sweater in a bold color like forest green or burgundy.
Bottom: Gray flannel trousers.
Shoes: Brown leather brogues.
Accessories: A tweed blazer, a patterned scarf, and a leather messenger bag.","Business Casual Meetings, University Lectures, Academic Conferences, Dinner Dates, Holiday Parties, Theater,  Opera Nights, Art Exhibitions, Job Interviews, Weddings, Networking Events, Sunday Brunch","fall, winter, cold"
4,https://storage.googleapis.com/raven-media-bucket/image/outfits/4.jpeg,"inspired by sea voyages and naval traditions and embodies a crisp, casual, and somewhat preppy aesthetic. It typically involves elements like navy or white trousers or shorts, striped shirts or sweaters, boat shoes or deck sneakers, and accessories like sailor caps or anchor-themed jewelry, all in a palette of navy, white, red, and sometimes yellow or khaki.","Hair: Clean-cut, short hairstyle or a classic crew cut.
Top: A navy and white striped long-sleeve shirt.
Bottom: White tailored shorts or chinos.
Shoes: Boat shoes or canvas espadrilles in a neutral color.
Accessories: A woven rope bracelet, a captain's hat, and round sunglasses.","Yacht club, Summer barbecue, Beach party, Casual shopping, Day at the beach, Vacation, Casual gathering, Outdoor festival, Weekend outing, Picnic","summer, hot"
5,https://storage.googleapis.com/raven-media-bucket/image/outfits/5.jpeg,"inspired by sea voyages and naval traditions and embodies a crisp, casual, and somewhat preppy aesthetic. It typically involves elements like navy or white trousers or shorts, striped shirts or sweaters, boat shoes or deck sneakers, and accessories like sailor caps or anchor-themed jewelry, all in a palette of navy, white, red, and sometimes yellow or khaki.","Hair: Slightly tousled, medium-length hair with a side part.
Top: A crisp white button-up shirt with a navy blazer.
Bottom: Navy blue trousers or chinos.
Shoes: Brown leather loafers or deck shoes.
Accessories: A striped necktie, a nautical-themed lapel pin, and a leather watch with a navy blue strap.","Business casual workday, Dinner date, Networking event, Cocktail party, Church, Art gallery, Theatre, Wedding guest, Family gathering, Seminar","spring, fall, mild"
6,https://storage.googleapis.com/raven-media-bucket/image/outfits/6.jpeg,"inspired by sea voyages and naval traditions and embodies a crisp, casual, and somewhat preppy aesthetic. It typically involves elements like navy or white trousers or shorts, striped shirts or sweaters, boat shoes or deck sneakers, and accessories like sailor caps or anchor-themed jewelry, all in a palette of navy, white, red, and sometimes yellow or khaki.","Hair: Relaxed, longer hair with a beachy wave or loose curls.
Top: A lightweight, chambray or linen short-sleeve shirt.
Bottom: Classic navy blue or white shorts.
Shoes: White canvas sneakers or deck shoes.
Accessories: A woven straw fedora hat, a rope belt, and a beaded anchor bracelet.","Vacation, Beach party, Summer barbecue, Weekend outing, Casual gathering, Picnic, Cruise, Outdoor festival, Day at the beach, Sailing club","summer, hot"
7,https://storage.googleapis.com/raven-media-bucket/image/outfits/7.jpeg,"a dress code that combines elements of formal and casual attire, suitable for a range of events from business casual gatherings to upscale social occasions. It typically involves a well-fitted pair of trousers or chinos paired with a collared shirt, complemented by options such as blazers, sweaters, or loafers, striking a balance between professionalism and comfort with a touch of personal style.","Hair: Well-groomed, styled with a side part or a slicked-back look.
Top: A tailored light blue button-up shirt.
Bottom: Slim-fitting dark gray trousers.
Shoes: Brown leather brogues or loafers.
Accessories: A navy blue blazer, a patterned pocket square, and a leather belt.","Business casual workday, Networking event, Dinner date, Cocktail party, Art gallery, Theatre, Church, Seminar, Family gathering, Wedding guest","spring, fall, mild"
8,https://storage.googleapis.com/raven-media-bucket/image/outfits/8.jpeg,"a dress code that combines elements of formal and casual attire, suitable for a range of events from business casual gatherings to upscale social occasions. It typically involves a well-fitted pair of trousers or chinos paired with a collared shirt, complemented by options such as blazers, sweaters, or loafers, striking a balance between professionalism and comfort with a touch of personal style.","Hair: Tousled, medium-length hairstyle with a natural texture.
Top: A fitted white polo shirt.
Bottom: Dark wash slim jeans or chinos.
Shoes: Clean white sneakers.
Accessories: A navy blue bomber jacket, a woven belt, and a simple leather bracelet.","Casual gathering, Concert, Casual shopping, Sport event, Weekend outing, City exploration, Skate park, Music festival, Road trip, Movie night","spring, summer, fall, mild"
9,https://storage.googleapis.com/raven-media-bucket/image/outfits/9.jpeg,"a dress code that combines elements of formal and casual attire, suitable for a range of events from business casual gatherings to upscale social occasions. It typically involves a well-fitted pair of trousers or chinos paired with a collared shirt, complemented by options such as blazers, sweaters, or loafers, striking a balance between professionalism and comfort with a touch of personal style.","Hair: Neatly groomed, shorter haircut with a slight fade.
Top: A gray crew neck sweater.
Bottom: Olive green tailored trousers or chinos.
Shoes: Suede desert boots in a neutral color.
Accessories: A brown leather belt, a plaid scarf, and a classic wristwatch.","Casual Friday at work, Dinner date, Family gathering, Art gallery, Movie night, Networking event, Theatre, Casual shopping, Coffee date, Church","fall, winter, cold"
10,https://storage.googleapis.com/raven-media-bucket/image/outfits/10.jpeg,"a refined and polished take on casual attire, blending comfort and sophistication. It involves carefully curated, high-quality pieces that elevate the overall look while maintaining a relaxed and approachable vibe. This style typically incorporates well-fitted, tailored clothing like slim-cut trousers, premium denim, button-up shirts, knitwear, and smart footwear like loafers or clean sneakers. The use of elevated fabrics, subtle patterns, tasteful accessories, and attention to details adds an extra touch of sophistication to create a polished yet effortless appearance.","Hair: Tousled, textured hairstyle with a medium-length cut.
Top: A fitted black turtleneck.
Bottom: Slim-fit dark indigo jeans.
Shoes: Brown leather Chelsea boots.
Accessories: A camel-colored wool coat, a leather belt, and a minimalistic wristwatch.","Art exhibition, Dinner date, Casual Friday at work, Concert, Coffee shop visit, City exploration, Casual gathering, fall festival, Movie night, Travel","fall, winter, cold"
